Source Table,Source Column,Transformation / Mapping Rules,Field,Array Field
"provider_addr_arr. provider_address1,
provider_school
",,"ADDRESS
sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    col(""addr_arr_df__txt"").alias(""id""),
                    lit(None).alias(""entity_type""),
                    col(""address1_df__fax"").alias(""telecom_value""),
                    lit(""fax"").alias(""telecom_type""),
                    lit(None).alias(""telecom_use""),
                    lit(None).alias(""telecom_rank""),
                    lit(None).alias(""telecom_eff_date""),
                    lit(None).alias(""telecom_exp_date""),
                    lit(None).alias(""contact_name""),
                    lit(None).alias(""contact_address""),
                    lit(None).alias(""contact_telecom_value""),
                    lit(None).alias(""contact_telecom_type""),
                    lit(None).alias(""available_all_day""),
                    lit(""sun"").alias(""available_days_of_week""),
                    when(col(""address1_df__sun_s1"") != """", col(""address1_df__sun_s1"")).otherwise(col(""address1_df__sun_s2"")).alias(""available_start_time""),
                    when(col(""address1_df__sun_e1"") != """", col(""address1_df__sun_e1"")).otherwise(col(""address1_df__sun_e2"")).alias(""available_end_time""),
                    lit(None).alias(""intemediary_ind""),
                    lit(None).alias(""intermediary_value""),
                    lit(None).alias(""intermediary_type"")
                )
            ), asc = False
        ).alias(""Sunday""),
     sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    col(""addr_arr_df__txt"").alias(""id""),
                    lit(None).alias(""entity_type""),
                    col(""address1_df__fax"").alias(""telecom_value""),
                    lit(""fax"").alias(""telecom_type""),
                    lit(None).alias(""telecom_use""),
                    lit(None).alias(""telecom_rank""),
                    lit(None).alias(""telecom_eff_date""),
                    lit(None).alias(""telecom_exp_date""),
                    lit(None).alias(""contact_name""),
                    lit(None).alias(""contact_address""),
                    lit(None).alias(""contact_telecom_value""),
                    lit(None).alias(""contact_telecom_type""),
                    lit(None).alias(""available_all_day""),
                    lit(""mon"").alias(""available_days_of_week""),
                    when(col(""address1_df__mon_s1"") != """", col(""address1_df__mon_s1"")).otherwise(col(""address1_df__mon_s2"")).alias(""available_start_time""),
                    when(col(""address1_df__mon_e1"") != """", col(""address1_df__mon_e1"")).otherwise(col(""address1_df__mon_e2"")).alias(""available_end_time""),
                    lit(None).alias(""intemediary_ind""),
                    lit(None).alias(""intermediary_value""),
                    lit(None).alias(""intermediary_type"")
                )
            ), asc = False
        ).alias(""Monday""),
     sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    col(""addr_arr_df__txt"").alias(""id""),
                    lit(None).alias(""entity_type""),
                    col(""address1_df__fax"").alias(""telecom_value""),
                    lit(""fax"").alias(""telecom_type""),
                    lit(None).alias(""telecom_use""),
                    lit(None).alias(""telecom_rank""),
                    lit(None).alias(""telecom_eff_date""),
                    lit(None).alias(""telecom_exp_date""),
                    lit(None).alias(""contact_name""),
                    lit(None).alias(""contact_address""),
                    lit(None).alias(""contact_telecom_value""),
                    lit(None).alias(""contact_telecom_type""),
                    lit(None).alias(""available_all_day""),
                    lit(""tue"").alias(""available_days_of_week""),
                    when(col(""address1_df__tues_s1"") != """", col(""address1_df__tues_s1"")).otherwise(col(""address1_df__tues_s2"")).alias(""available_start_time""),
                    when(col(""address1_df__tues_e1"") != """", col(""address1_df__tues_e1"")).otherwise(col(""address1_df__tues_e2"")).alias(""available_end_time""),
                    lit(None).alias(""intemediary_ind""),
                    lit(None).alias(""intermediary_value""),
                    lit(None).alias(""intermediary_type"")
                )
            ), asc = False
        ).alias(""Tuesday""),
     sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    col(""addr_arr_df__txt"").alias(""id""),
                    lit(None).alias(""entity_type""),
                    col(""address1_df__fax"").alias(""telecom_value""),
                    lit(""fax"").alias(""telecom_type""),
                    lit(None).alias(""telecom_use""),
                    lit(None).alias(""telecom_rank""),
                    lit(None).alias(""telecom_eff_date""),
                    lit(None).alias(""telecom_exp_date""),
                    lit(None).alias(""contact_name""),
                    lit(None).alias(""contact_address""),
                    lit(None).alias(""contact_telecom_value""),
                    lit(None).alias(""contact_telecom_type""),
                    lit(None).alias(""available_all_day""),
                    lit(""wed"").alias(""available_days_of_week""),
                    when(col(""address1_df__wednes_s1"") != """", col(""address1_df__wednes_s1"")).otherwise(col(""address1_df__wednes_s2"")).alias(""available_start_time""),
                    when(col(""address1_df__wednes_e1"") != """", col(""address1_df__wednes_e1"")).otherwise(col(""address1_df__wednes_e2"")).alias(""available_end_time""),
                    lit(None).alias(""intemediary_ind""),
                    lit(None).alias(""intermediary_value""),
                    lit(None).alias(""intermediary_type"")
                )
            ), asc = False
        ).alias(""Wednesday""),
     sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    col(""addr_arr_df__txt"").alias(""id""),
                    lit(None).alias(""entity_type""),
                    col(""address1_df__fax"").alias(""telecom_value""),
                    lit(""fax"").alias(""telecom_type""),
                    lit(None).alias(""telecom_use""),
                    lit(None).alias(""telecom_rank""),
                    lit(None).alias(""telecom_eff_date""),
                    lit(None).alias(""telecom_exp_date""),
                    lit(None).alias(""contact_name""),
                    lit(None).alias(""contact_address""),
                    lit(None).alias(""contact_telecom_value""),
                    lit(None).alias(""contact_telecom_type""),
                    lit(None).alias(""available_all_day""),
                    lit(""thu"").alias(""available_days_of_week""),
                    when(col(""address1_df__thurs_s1"") != """", col(""address1_df__thurs_s1"")).otherwise(col(""address1_df__thurs_s2"")).alias(""available_start_time""),
                    when(col(""address1_df__thurs_e1"") != """", col(""address1_df__thurs_e1"")).otherwise(col(""address1_df__thurs_e2"")).alias(""available_end_time""),
                    lit(None).alias(""intemediary_ind""),
                    lit(None).alias(""intermediary_value""),
                    lit(None).alias(""intermediary_type"")
                )
            ), asc = False
        ).alias(""Thursday""),
     sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    col(""addr_arr_df__txt"").alias(""id""),
                    lit(None).alias(""entity_type""),
                    col(""address1_df__fax"").alias(""telecom_value""),
                    lit(""fax"").alias(""telecom_type""),
                    lit(None).alias(""telecom_use""),
                    lit(None).alias(""telecom_rank""),
                    lit(None).alias(""telecom_eff_date""),
                    lit(None).alias(""telecom_exp_date""),
                    lit(None).alias(""contact_name""),
                    lit(None).alias(""contact_address""),
                    lit(None).alias(""contact_telecom_value""),
                    lit(None).alias(""contact_telecom_type""),
                    lit(None).alias(""available_all_day""),
                    lit(""fri"").alias(""available_days_of_week""),
                    when(col(""address1_df__fri_s1"") != """", col(""address1_df__fri_s1"")).otherwise(col(""address1_df__fri_s2"")).alias(""available_start_time""),
                    when(col(""address1_df__fri_e1"") != """", col(""address1_df__fri_e1"")).otherwise(col(""address1_df__fri_e2"")).alias(""available_end_time""),
                    lit(None).alias(""intemediary_ind""),
                    lit(None).alias(""intermediary_value""),
                    lit(None).alias(""intermediary_type"")
                )
            ), asc = False
        ).alias(""Friday""),
     sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    col(""addr_arr_df__txt"").alias(""id""),
                    lit(None).alias(""entity_type""),
                    col(""address1_df__fax"").alias(""telecom_value""),
                    lit(""fax"").alias(""telecom_type""),
                    lit(None).alias(""telecom_use""),
                    lit(None).alias(""telecom_rank""),
                    lit(None).alias(""telecom_eff_date""),
                    lit(None).alias(""telecom_exp_date""),
                    lit(None).alias(""contact_name""),
                    lit(None).alias(""contact_address""),
                    lit(None).alias(""contact_telecom_value""),
                    lit(None).alias(""contact_telecom_type""),
                    lit(None).alias(""available_all_day""),
                    lit(""sat"").alias(""available_days_of_week""),
                    when(col(""address1_df__satur_s1"") != """", col(""address1_df__satur_s1"")).otherwise(col(""address1_df__satur_s2"")).alias(""available_start_time""),
                    when(col(""address1_df__satur_e1"") != """", col(""address1_df__satur_e1"")).otherwise(col(""address1_df__satur_e2"")).alias(""available_end_time""),
                    lit(None).alias(""intemediary_ind""),
                    lit(None).alias(""intermediary_value""),
                    lit(None).alias(""intermediary_type"")
                )
            ), asc = False
        ).alias(""Saturday"")
)

SCHOOL
concat(
            sort_array(
                collect_list(
                    struct(
                        lit(None).alias(""reference_id""),
                        lit(None).alias(""id""),
                        lit(""School"").alias(""entity_type""),
                        lit(None).alias(""telecom_value""),
                        lit(None).alias(""telecom_type""),
                        lit(None).alias(""telecom_use""),
                        lit(None).alias(""telecom_rank""),
                        lit(None).alias(""telecom_eff_date""),
                        lit(None).alias(""telecom_exp_date""),
                        col(""school_df__contact1"").alias(""contact_name""),
                        lit(None).alias(""contact_address""),
                        lit(None).alias(""contact_telecom_value""),
                        lit(None).alias(""contact_telecom_type""),
                        lit(None).alias(""available_all_day""),
                        lit(None).alias(""available_days_of_week""),
                        lit(None).alias(""available_start_time""),
                        lit(None).alias(""available_end_time""),
                        lit(None).alias(""intemediary_ind""),
                        lit(None).alias(""intermediary_value""),
                        lit(None).alias(""intermediary_type"")
                    )
                ), asc = False
            ),
             sort_array(
                collect_list(
                    struct(
                        lit(None).alias(""reference_id""),
                        lit(None).alias(""id""),
                        lit(""School"").alias(""entity_type""),
                        lit(None).alias(""telecom_value""),
                        lit(None).alias(""telecom_type""),
                        lit(None).alias(""telecom_use""),
                        lit(None).alias(""telecom_rank""),
                        lit(None).alias(""telecom_eff_date""),
                        lit(None).alias(""telecom_exp_date""),
                        col(""school_df__contact2"").alias(""contact_name""),
                        lit(None).alias(""contact_address""),
                        lit(None).alias(""contact_telecom_value""),
                        lit(None).alias(""contact_telecom_type""),
                        lit(None).alias(""available_all_day""),
                        lit(None).alias(""available_days_of_week""),
                        lit(None).alias(""available_start_time""),
                        lit(None).alias(""available_end_time""),
                        lit(None).alias(""intemediary_ind""),
                        lit(None).alias(""intermediary_value""),
                        lit(None).alias(""intermediary_type"")
                    )
                ), asc = False
            )
        )

",general_contact_details,"reference_id
id
entity_type
telecom_value
telecom_type
telecom_use
telecom_rank
eff_date
exp_date
contact_name
contact_name_use
contact_name_prefix
contact_first_name
contact_middle_name
contact_last_name
contact_name_suffix
contact_address
contact_telecom_value
contact_telecom_type
contact_purpose
contact_purpose_system
contact_purpose_display
available_all_day
available_days_of_week
available_start_time
available_end_time
intermediary_ind
intermediary_id
intermediary_type
intermediary_contact_value
intermediary_contact_type
"
,,"lit(""Facebook"")",social_profile_social_profile_type,
"avesis_provider_medstardc_medicaid_vision,avesis_provider_medstardc_medicaid_dental, avesis_provider_medstar_medicaid_vision
",facebook,,social_profile_profile_url,
provider_drname,,"sort_array(
            concat(
            collect_list(
                struct(
                    lit(None).alias(""reference_id""),            
                    lit(""Facebook"").alias(""type""),
                    col(""drname_df__facebook"").alias(""url""),
                    lit(None).alias(""active_profile"")
                )
            ),
            collect_list(
                struct(
                    lit(None).alias(""reference_id""),            
                    lit(""Twitter"").alias(""type""),
                    col(""drname_df__twitter"").alias(""url""),
                    lit(None).alias(""active_profile"")
                )
            )
        ))
",other_social_profiles,"reference_id
type
url
active_profile
source
"
provider_drname,gender,,base_demographic_gender,
provider_stfstatu,pcp_spec,"if len(pcp_ind_array) == 1:
        pcp_ind_code = pcp_ind_array[0]
        if pcp_ind_code == ""P"":
            pcp_ind= True
        elif pcp_ind_code == ""S"":
            pcp_ind= False
        elif pcp_ind_code == ""B"":
            pcp_ind= True
        else:
            service_provider_role = None
    elif len(pcp_ind_array) > 1:
        pcp_ind = True

Note: 
pcp_ind_arry:  list of provider_stfstatu.pcp_spec",pcp_ind,
provider_stfstatu,pcp_spec,"if len(pcp_ind_array) == 1:
        pcp_ind_code = pcp_ind_array[0]
        if pcp_ind_code == ""P"":
            service_provider_role = ""PCP""
        elif pcp_ind_code == ""S"":
            service_provider_role = ""Specialist""
        elif pcp_ind_code == ""B"":
            service_provider_role = ""Both PCP and Specialist""
        else:
            service_provider_role = None
    elif len(pcp_ind_array) > 1:
        service_provider_role = ""Both PCP and Specialist""

Note: 
pcp_ind_arry:  list of provider_stfstatu.pcp_spec",service_provider_role,
provider_u3_tab,txt,"sort_array(
        collect_set(
            when(col(""u3_tab_df__txt"") == 'Accepting New Patients', lit('Accepting New Patients'))
                .when(col(""u3_tab_df__txt"") == 'Not Accepting New Patients', lit('Not Accepting New Patients'))
            .otherwise(lit(None))
            ), asc = False)",accept_new_patient,
provider_u3_tab,txt,"sort_array(
        collect_set(
            when(col(""u3_tab_df__txt"") == 'Accepting New Patients', lit(None))
                .when(col(""u3_tab_df__txt"") == 'Not Accepting New Patients', lit(None))
            .otherwise(col(""u3_tab_df__txt""))            
            ), asc = False
    )",accept_new_patient_from_network,
provider_drname,gender,,base_demographic_gender,
,,,base_demographic_sex,
provider_drname,ud12,,base_demographic_race,
,,,base_demographic_religion,
provider_drname,ethnic,,base_demographic_ethnicity,
provider_drname,marital,,base_demographic_marital_status,
provider_drname,citisen,,base_demographic_nationality,
,,,base_demographic_mothers_maiden_name,
"provider_drname
",citisen,"col(""drname_df__citisen"").alias(""base_demographic_citizenship""",base_demographic_citizenship,
provider_drname,ss_no,,national_id,
provider_drname,nationalid,,npi,
,,,dea_id,
provider_address2,substring_tax_id,,tin,
,,,practice_type,
,," lit(""True"")",active,
provider_drname,birthdate,,birth_date_of_birth,
provider_drname,birthdate,year(birthdate),birth_year_of_birth,
provider_drname,birthplace,,birth_birthplace,
,,,deceased_deceased_ind,
,,,deceased_deceased_date,
provider_drname,lan_cd,,language_language_code,
"provider_dr_lan,
provider_lan_tab",,"sort_array(
        collect_list(
            struct(
                lit(None).alias(""reference_id""),
                col(""dr_lan_df__lan_cd"").alias(""language_code""),
                col(""lan_tab_df__txt"").alias(""language_code_display""),
                lit(None).alias(""language_text""),
                col(""dr_lan_df__seq"").alias(""language_proficiency""),
            )
        ), asc=True
    )
",other_languages,"reference_id
language_code
language_code_display
language_text
language_proficiency
usage
usage_source
source
"
,,,privacy_preferences,"reference_id
opt_out
allowed_to_contact
contact_party
email_opt_out
mail_opt_out
phone_opt_out
text_message_opt_out
"
